,Thickness,FRT,CT,% TCM Reduc,Cold Spot,Control Heating Time,Soaking Time,SPM Elongation,% Carbon,% Mn,%SI,%NB,%TI,YS (Mpa)
0,0.7,904.17,696.41,83.89,660.0,338.0,920.0,0.3,0.0029,0.07,0.007,0.001,0.062,166.0
1,0.7,913.0,701.2,83.89,660.0,336.0,810.0,0.3,0.0029,0.07,0.007,0.001,0.062,177.0
2,0.7,906.2,697.52,83.89,660.0,337.0,900.0,0.3,0.0019,0.06,0.006,0.001,0.061,169.0
3,0.7,903.14,700.92,81.88,670.0,428.0,900.0,0.3,0.0034,0.07,0.008,0.001,0.064,179.0
4,0.7,910.92,702.1,81.88,660.0,336.0,810.0,0.3,0.0025,0.07,0.008,0.001,0.069,180.0
5,0.7,906.38,699.54,81.88,660.0,328.0,854.0,0.3,0.0027,0.07,0.01,0.001,0.064,165.7
6,0.7,902.15,571.16,74.0,670.0,427.0,1050.0,0.8,0.04,0.15,0.005,0.001,0.001,159.0
7,0.7,911.79,698.07,81.88,660.0,338.0,810.0,0.3,0.0025,0.06,0.005,0.001,0.068,164.0
8,0.7,918.3,699.82,81.88,660.0,336.0,910.0,0.3,0.0019,0.06,0.007,0.001,0.074,165.0
9,0.7,916.5,698.37,81.88,660.0,338.0,927.0,0.3,0.0019,0.08,0.007,0.001,0.07,162.0
10,0.7,939.21,698.91,83.14,660.0,334.0,840.0,0.3,0.0026,0.06,0.005,0.001,0.066,153.0
11,0.7,937.07,699.49,83.14,660.0,338.0,927.0,0.3,0.0019,0.07,0.004,0.001,0.07,158.0
12,0.7,929.67,700.18,81.88,660.0,336.0,910.0,0.3,0.0019,0.06,0.007,0.001,0.074,165.0
13,0.8,890.84,569.52,72.37,670.0,428.0,937.0,0.8,0.03,0.16,0.012,0.001,0.001,162.0
14,1.2,897.49,567.74,69.2,670.0,424.0,990.0,0.8,0.035,0.17,0.003,0.001,0.001,148.0
15,0.7,923.12,701.35,81.88,660.0,344.0,962.0,0.3,0.0019,0.08,0.007,0.001,0.07,176.0
16,0.7,922.83,697.54,81.88,660.0,330.0,945.0,0.3,0.0019,0.07,0.006,0.001,0.063,160.0
17,0.7,922.41,701.55,81.88,660.0,425.0,870.0,0.3,0.0019,0.06,0.007,0.001,0.074,179.0
18,0.7,918.39,698.3,81.88,660.0,424.0,815.0,0.3,0.0022,0.06,0.007,0.001,0.068,169.0
19,0.7,928.24,698.44,81.88,660.0,344.0,962.0,0.3,0.0019,0.06,0.005,0.001,0.07,175.0
20,0.7,918.25,696.22,81.88,660.0,334.0,902.0,0.3,0.0027,0.08,0.008,0.001,0.069,156.0
21,0.6,914.43,699.88,82.17,690.0,427.0,928.0,0.5,0.003,0.08,0.0089,0.001,0.068,154.0
22,0.9,922.28,702.88,79.44,660.0,334.0,902.0,0.3,0.003,0.08,0.0089,0.001,0.068,156.0
23,0.9,916.94,700.41,79.44,660.0,334.0,902.0,0.3,0.003,0.08,0.0089,0.001,0.068,161.0
24,0.8,919.5,697.71,79.38,660.0,336.0,875.0,0.3,0.0023,0.06,0.008,0.001,0.07,175.0
25,0.8,916.13,698.48,79.38,660.0,336.0,875.0,0.3,0.0029,0.06,0.007,0.001,0.064,172.0
26,0.8,920.99,701.59,79.38,660.0,335.0,855.0,0.3,0.0027,0.06,0.008,0.001,0.067,152.0
27,0.8,914.7,698.19,79.38,660.0,335.0,855.0,0.3,0.0019,0.06,0.006,0.001,0.061,176.0
28,0.65,916.33,700.45,80.71,660.0,339.0,838.0,0.3,0.0026,0.06,0.006,0.001,0.067,180.0
29,0.65,912.33,698.43,80.71,660.0,335.0,842.0,0.3,0.0021,0.07,0.007,0.001,0.064,162.0
30,0.8,913.22,700.51,79.38,660.0,336.0,810.0,0.3,0.0027,0.06,0.007,0.001,0.065,166.0
31,0.8,906.7,700.59,79.38,660.0,338.0,810.0,0.3,0.0019,0.06,0.007,0.001,0.066,155.0
32,0.8,913.16,701.17,79.38,660.0,337.0,840.0,0.3,0.002,0.06,0.0089,0.001,0.064,163.0
33,0.8,912.9,698.12,79.38,660.0,337.0,840.0,0.3,0.0018,0.07,0.008,0.001,0.064,154.0
34,0.8,907.28,701.28,79.38,660.0,336.0,810.0,0.5,0.0019,0.06,0.007,0.001,0.066,164.0
35,0.8,910.68,698.42,79.38,660.0,338.0,810.0,0.3,0.0018,0.07,0.008,0.001,0.064,154.0
36,0.7,903.94,699.35,81.88,660.0,424.0,752.0,0.3,0.002,0.06,0.0089,0.001,0.064,162.0
37,0.7,904.4,699.01,81.88,660.0,426.0,751.0,0.3,0.0019,0.06,0.007,0.001,0.066,169.0
38,0.7,901.61,695.39,81.88,660.0,328.0,854.0,0.3,0.0024,0.05,0.007,0.001,0.063,169.0
39,0.65,926.27,698.4,80.71,660.0,33.0,462.0,0.3,0.0022,0.07,0.008,0.001,0.063,167.0
40,0.65,906.12,696.89,80.71,660.0,429.0,770.0,0.3,0.0034,0.06,0.008,0.001,0.066,169.0
41,0.65,907.43,695.76,80.71,660.0,425.0,900.0,0.3,0.0019,0.06,0.007,0.001,0.066,177.0
42,0.65,903.8,695.73,80.71,660.0,429.0,770.0,0.3,0.0018,0.07,0.008,0.001,0.064,175.0
43,0.65,907.1,700.31,80.71,660.0,339.0,838.0,0.3,0.0025,0.06,0.005,0.001,0.068,166.0
44,0.7,915.4,700.32,81.88,660.0,426.0,751.0,0.3,0.0025,0.07,0.008,0.001,0.069,175.0
45,0.7,910.43,698.2,81.88,660.0,427.0,855.0,0.3,0.0029,0.06,0.007,0.001,0.064,161.0
46,0.7,917.1,698.36,81.88,660.0,427.0,825.0,0.3,0.0029,0.06,0.007,0.001,0.064,154.0
47,0.75,913.07,698.92,80.63,660.0,428.0,750.0,0.3,0.0025,0.06,0.006,0.001,0.07,158.0
48,0.65,919.17,698.8,80.71,660.0,427.0,695.0,0.3,0.002,0.06,0.005,0.001,0.065,160.0
49,0.7,917.91,698.99,81.88,660.0,426.0,885.0,0.3,0.002,0.06,0.004,0.001,0.063,163.0
50,0.7,914.15,697.27,81.88,660.0,430.0,848.0,0.3,0.0027,0.08,0.006,0.001,0.08,178.0
51,0.8,893.71,582.44,72.37,670.0,428.0,1049.0,0.8,0.03,0.15,0.008,0.001,0.001,167.0
52,0.7,926.43,699.05,81.88,660.0,427.0,767.0,0.3,0.0018,0.07,0.01,0.001,0.066,167.0
53,0.6,916.57,695.79,82.17,670.0,425.0,860.0,0.3,0.003,0.07,0.008,0.001,0.065,168.0
54,0.6,919.08,699.58,82.17,660.0,428.0,834.0,0.3,0.003,0.07,0.008,0.001,0.065,158.0
55,0.6,919.09,701.01,82.17,660.0,366.0,845.0,0.3,0.002,0.06,0.006,0.001,0.067,155.0
56,0.6,914.03,697.56,82.17,660.0,430.0,848.0,0.3,0.0023,0.07,0.005,0.001,0.066,178.0
57,0.65,910.19,699.1,80.71,660.0,427.0,726.0,0.3,0.0021,0.07,0.007,0.001,0.064,154.0
58,0.65,910.62,699.03,80.71,660.0,427.0,818.0,0.3,0.0027,0.06,0.007,0.001,0.065,155.0
59,0.6,903.86,698.57,82.17,660.0,427.0,826.0,0.3,0.003,0.06,0.005,0.001,0.068,168.0
60,0.6,909.28,698.73,82.17,670.0,425.0,860.0,0.3,0.0021,0.07,0.006,0.001,0.068,160.0
61,0.8,894.81,702.65,79.38,660.0,426.0,818.0,0.3,0.0022,0.05,0.003,0.001,0.068,153.0
62,0.65,906.52,698.45,80.71,660.0,337.0,840.0,0.3,0.0018,0.06,0.005,0.001,0.063,149.0
63,0.7,899.9,700.29,81.88,660.0,429.0,762.0,0.3,0.0024,0.06,0.005,0.001,0.063,165.0
64,0.65,904.18,698.77,80.71,660.0,336.0,855.0,0.3,0.0023,0.05,0.0089,0.001,0.068,165.0
65,0.6,896.18,700.91,82.17,660.0,336.0,855.0,0.3,0.0029,0.07,0.007,0.001,0.062,161.0
66,1.6,899.45,575.41,68.56,670.0,425.0,984.0,0.8,0.04,0.18,0.01,0.001,0.001,164.0
67,0.7,887.56,570.15,74.0,670.0,430.0,1050.0,0.8,0.04,0.15,0.005,0.001,0.001,170.0
68,0.78,889.91,566.25,68.88,670.0,427.0,870.0,0.8,0.04,0.17,0.007,0.001,0.001,168.0
69,0.65,909.06,698.86,80.71,660.0,429.0,762.0,0.3,0.0022,0.07,0.006,0.001,0.067,170.0
70,0.65,912.98,699.66,80.71,660.0,337.0,840.0,0.3,0.0022,0.07,0.008,0.001,0.063,176.0
71,0.65,914.1,700.84,80.71,690.0,427.0,928.0,0.3,0.0024,0.05,0.007,0.001,0.063,174.0
72,0.6,914.11,700.78,82.17,660.0,427.0,844.0,0.3,0.0024,0.07,0.006,0.001,0.081,171.0
73,0.9,917.37,698.51,79.44,690.0,427.0,928.0,0.3,0.0023,0.07,0.004,0.001,0.066,171.0
74,1.2,923.93,698.43,72.76,660.0,334.0,840.0,0.3,0.0019,0.06,0.005,0.001,0.07,158.0
75,1.2,920.81,699.51,72.76,660.0,428.0,840.0,0.3,0.0016,0.06,0.005,0.001,0.07,152.0
76,0.65,917.63,697.41,80.71,660.0,431.0,714.0,0.3,0.0026,0.06,0.006,0.001,0.067,154.0
77,0.6,919.1,698.86,82.17,670.0,426.0,884.0,0.3,0.003,0.07,0.01,0.001,0.068,172.0
78,1.2,921.31,697.02,72.76,660.0,336.0,910.0,0.3,0.0024,0.06,0.007,0.001,0.066,161.0
79,1.2,921.86,697.81,72.76,660.0,338.0,927.0,0.3,0.002,0.07,0.004,0.001,0.069,178.0
80,0.8,912.53,699.62,79.38,660.0,429.0,832.0,0.3,0.0021,0.07,0.006,0.001,0.068,173.0
81,0.6,899.95,698.98,82.17,660.0,425.0,856.0,0.3,0.0029,0.07,0.007,0.001,0.062,167.0
82,1.2,912.25,697.84,72.76,660.0,427.0,825.0,0.3,0.0017,0.06,0.008,0.001,0.07,167.0
83,0.7,913.59,699.12,81.88,660.0,424.0,815.0,0.3,0.0023,0.06,0.008,0.001,0.07,161.0
84,0.6,919.3,702.07,82.17,660.0,336.0,930.0,0.3,0.0027,0.07,0.006,0.001,0.0719,164.0
85,0.7,909.5,697.02,81.88,660.0,425.0,870.0,0.3,0.002,0.06,0.004,0.001,0.063,157.0
86,0.6,910.28,702.13,82.17,660.0,426.0,885.0,0.3,0.0027,0.08,0.004,0.001,0.07,171.0
87,0.8,903.61,696.4,79.38,660.0,426.0,765.0,0.3,0.0023,0.06,0.006,0.001,0.061,170.0
88,0.8,910.41,699.09,79.38,660.0,425.0,755.0,0.3,0.0027,0.06,0.006,0.001,0.066,178.0
89,0.7,913.78,698.73,81.88,660.0,366.0,765.0,0.3,0.003,0.06,0.005,0.001,0.068,178.0
90,0.7,898.67,567.71,74.0,670.0,426.0,1020.0,0.8,0.045,0.16,0.006,0.001,0.001,168.0
91,0.8,916.64,697.46,79.38,660.0,425.0,755.0,0.3,0.0025,0.07,0.008,0.001,0.07,165.0
92,0.6,913.18,699.42,82.17,660.0,427.0,810.0,0.3,0.0027,0.07,0.005,0.001,0.07,178.0
93,0.65,885.31,572.54,77.4,670.0,428.0,943.0,0.8,0.035,0.18,0.007,0.001,0.001,175.0
94,1.8,890.71,563.13,68.33,670.0,427.0,1020.0,0.8,0.0399,0.1599,0.0049,0.001,0.001,160.0
95,0.8,898.84,568.39,72.37,670.0,427.0,881.0,0.8,0.045,0.17,0.006,0.001,0.001,165.0
96,0.65,901.42,565.08,77.4,670.0,428.0,930.0,0.8,0.04,0.18,0.007,0.001,0.001,155.0
97,0.65,901.96,565.54,77.4,670.0,427.0,1020.0,0.8,0.035,0.16,0.005,0.001,0.001,169.0
98,0.65,905.55,562.78,77.4,670.0,430.0,990.0,0.8,0.035,0.16,0.005,0.001,0.001,161.0
99,1.2,898.07,565.57,69.2,670.0,430.0,990.0,0.8,0.035,0.16,0.005,0.001,0.001,159.0
100,1.2,895.4,576.74,69.2,670.0,430.0,990.0,0.8,0.04,0.18,0.007,0.001,0.001,159.0
101,0.6,880.2,565.44,77.61,670.0,425.0,900.0,0.8,0.038,0.14,0.007,0.001,0.001,173.0
102,0.96,900.95,565.79,67.0,670.0,429.0,1009.0,0.8,0.035,0.16,0.011,0.001,0.001,164.0
103,1.2,904.21,579.65,69.2,670.0,426.0,1020.0,0.8,0.035,0.16,0.005,0.001,0.001,178.0
104,1.2,905.9,577.5,69.2,670.0,426.0,840.0,0.8,0.04,0.18,0.007,0.001,0.001,158.0
105,1.2,904.96,575.18,69.2,670.0,425.0,930.0,0.8,0.035,0.16,0.005,0.001,0.001,161.0
106,1.2,901.59,567.04,69.2,670.0,428.0,920.0,0.8,0.035,0.16,0.005,0.001,0.001,167.0
107,1.2,907.01,560.22,67.58,670.0,429.0,1047.0,0.8,0.035,0.16,0.011,0.001,0.001,165.0
108,0.6,883.19,565.65,77.61,670.0,425.0,1045.0,0.8,0.035,0.15,0.005,0.001,0.001,160.0
109,0.8,917.74,698.56,79.38,660.0,429.0,762.0,0.3,0.0025,0.07,0.008,0.001,0.07,153.0
110,0.7,923.74,701.68,81.88,660.0,369.0,837.0,0.3,0.0022,0.07,0.005,0.001,0.07,160.0
111,0.8,911.64,695.49,79.38,660.0,428.0,840.0,0.3,0.0025,0.1,0.006,0.006,0.051,158.0
112,0.8,919.24,704.9,79.38,660.0,429.0,832.0,0.3,0.0025,0.1,0.006,0.006,0.051,165.0
113,0.8,916.45,701.09,79.38,660.0,424.0,838.0,0.3,0.0025,0.1,0.006,0.006,0.051,177.0
114,0.75,908.61,699.75,80.63,660.0,426.0,871.0,0.3,0.002,0.06,0.004,0.001,0.065,175.0
115,0.7,913.87,698.96,81.88,660.0,428.0,750.0,0.3,0.002,0.06,0.006,0.001,0.067,178.0
116,0.8,918.36,700.57,79.38,660.0,428.0,814.0,0.3,0.0026,0.05,0.007,0.001,0.071,155.0
117,0.75,918.61,702.52,80.63,660.0,427.0,825.0,0.3,0.003,0.06,0.008,0.001,0.065,173.0
118,0.96,894.99,564.43,67.0,670.0,429.0,1050.0,0.8,0.04,0.18,0.019,0.001,0.001,169.0
119,0.7,914.55,696.83,81.88,670.0,428.0,891.0,0.4,0.0029,0.07,0.0089,0.001,0.067,161.0
120,0.7,910.3,699.75,81.88,655.0,424.0,910.0,0.3,0.0021,0.07,0.007,0.001,0.067,164.0
121,1.2,897.26,567.72,67.58,670.0,426.0,969.0,0.8,0.04,0.16,0.006,0.001,0.001,164.0
122,0.8,915.79,698.11,79.38,660.0,33.0,462.0,0.3,0.0029,0.06,0.008,0.001,0.066,162.0
123,0.7,891.34,564.93,72.0,670.0,425.0,932.0,0.8,0.05,0.16,0.005,0.001,0.001,158.0
124,0.7,910.0,697.66,81.88,660.0,426.0,852.0,0.3,0.003,0.08,0.0089,0.001,0.068,167.0
125,0.7,921.17,700.48,81.88,660.0,427.0,810.0,0.3,0.0025,0.07,0.007,0.001,0.063,166.0
126,0.7,920.46,700.13,81.88,660.0,425.0,815.0,0.3,0.002,0.05,0.005,0.001,0.065,159.0
127,0.8,925.16,699.6,79.38,660.0,427.0,834.0,0.3,0.0027,0.06,0.008,0.001,0.067,177.0
128,0.7,917.38,700.06,81.88,660.0,425.0,870.0,0.3,0.0023,0.06,0.008,0.001,0.07,155.0
129,0.7,918.82,697.98,81.88,660.0,427.0,855.0,0.3,0.0021,0.07,0.005,0.001,0.062,170.0
130,0.96,885.48,565.39,67.0,670.0,425.0,930.0,0.8,0.05,0.16,0.005,0.001,0.001,169.0
131,0.96,889.31,559.36,67.0,670.0,427.0,1049.0,0.8,0.05,0.15,0.005,0.001,0.001,170.0
132,0.7,904.94,696.0,81.88,660.0,364.0,930.0,0.3,0.002,0.06,0.005,0.001,0.064,163.0
133,1.2,915.41,699.9,72.76,660.0,427.0,865.0,0.3,0.0024,0.05,0.0089,0.001,0.067,160.0
134,0.9,901.08,569.02,69.0,670.0,427.0,1049.0,0.8,0.045,0.1599,0.003,0.001,0.001,159.0
135,1.4,871.11,561.48,71.32,670.0,426.0,923.0,0.8,0.03,0.16,0.005,0.001,0.001,159.0
136,1.4,870.9,566.55,71.32,670.0,430.0,850.0,0.8,0.035,0.16,0.006,0.001,0.001,168.0
137,1.4,888.35,564.31,71.32,670.0,426.0,923.0,0.8,0.045,0.16,0.007,0.001,0.001,166.0
138,1.4,911.16,568.6,70.13,670.0,428.0,900.0,0.8,0.045,0.1599,0.003,0.001,0.001,165.0
139,0.6,890.2,563.8,77.61,670.0,431.0,910.0,0.8,0.03,0.16,0.005,0.001,0.001,154.0
140,0.75,899.63,566.61,67.54,670.0,425.0,932.0,0.8,0.045,0.16,0.007,0.001,0.001,158.0
141,1.4,906.76,562.65,68.13,670.0,426.0,923.0,0.8,0.03,0.16,0.005,0.001,0.001,160.0
142,1.6,897.41,567.58,68.56,670.0,424.0,954.0,0.8,0.045,0.16,0.007,0.001,0.001,172.0
143,1.6,905.2,549.71,68.56,670.0,429.0,883.0,0.8,0.03,0.16,0.005,0.001,0.001,173.0
144,1.8,907.3,579.02,68.33,670.0,428.0,900.0,0.8,0.038,0.17,0.006,0.001,0.001,174.0
145,1.6,890.35,568.77,68.56,670.0,429.0,883.0,0.8,0.04,0.15,0.006,0.001,0.001,152.0
146,1.6,896.32,563.47,68.56,670.0,429.0,883.0,0.8,0.04,0.15,0.006,0.001,0.001,161.0
147,0.65,902.65,566.49,77.4,670.0,431.0,910.0,0.8,0.04,0.15,0.006,0.001,0.001,174.0
148,0.6,895.54,572.24,79.1,670.0,430.0,990.0,0.8,0.03,0.15,0.005,0.001,0.001,178.0
149,1.8,901.89,563.02,68.33,670.0,428.0,900.0,0.8,0.045,0.14,0.005,0.001,0.001,169.0
150,1.4,888.34,561.16,70.13,670.0,428.0,960.0,0.8,0.04,0.16,0.004,0.001,0.001,158.0
151,0.65,894.58,569.28,77.4,670.0,426.0,930.0,0.8,0.04,0.16,0.004,0.001,0.001,178.0
152,0.65,899.86,566.56,77.4,670.0,429.0,885.0,0.8,0.04,0.16,0.004,0.001,0.001,161.0
153,0.8,920.04,697.83,79.38,660.0,428.0,848.0,0.3,0.0026,0.08,0.008,0.001,0.06,160.0
154,0.8,924.15,700.89,79.38,660.0,425.0,811.0,0.6,0.003,0.08,0.008,0.001,0.0719,164.0
155,0.75,916.31,701.06,80.63,660.0,428.0,834.0,0.3,0.0022,0.05,0.008,0.001,0.074,179.0
