Thickness,FRT,CT,% TCM Reduc,Cold Spot,Control Heating Time,Soaking Time,SPM Elongation,% Carbon,% Mn,%SI,%NB,%TI,YS (Mpa),,,,
0.7,904.17,696.41,83.89,660,338,920,0.3,0.0029,0.07,0.007,0.001,0.062,166,,,,
0.7,913,701.2,83.89,660,336,810,0.3,0.0029,0.07,0.007,0.001,0.062,177,,,,
0.7,906.2,697.52,83.89,660,337,900,0.3,0.0019,0.06,0.006,0.001,0.061,169,,,,
0.7,903.14,700.92,81.88,670,428,900,0.3,0.0034,0.07,0.008,0.001,0.064,179,,,,
0.7,910.92,702.1,81.88,660,336,810,0.3,0.0025,0.07,0.008,0.001,0.069,180,,,,
0.7,906.38,699.54,81.88,660,328,854,0.3,0.0027,0.07,0.01,0.001,0.064,165.7,,,,
0.7,902.15,571.16,74,670,427,1050,0.8,0.04,0.15,0.005,0.001,0.001,159,,,,
0.7,911.79,698.07,81.88,660,338,810,0.3,0.0025,0.06,0.005,0.001,0.068,164,,,,
0.7,918.3,699.82,81.88,660,336,910,0.3,0.0019,0.06,0.007,0.001,0.074,165,,,,
0.7,916.5,698.37,81.88,660,338,927,0.3,0.0019,0.08,0.007,0.001,0.07,162,,,,
0.7,939.21,698.91,83.14,660,334,840,0.3,0.0026,0.06,0.005,0.001,0.066,153,,,,
0.7,937.07,699.49,83.14,660,338,927,0.3,0.0019,0.07,0.004,0.001,0.07,158,,,,
0.7,929.67,700.18,81.88,660,336,910,0.3,0.0019,0.06,0.007,0.001,0.074,165,,,,
0.8,890.84,569.52,72.37,670,428,937,0.8,0.03,0.16,0.012,0.001,0.001,162,,,,
1.2,897.49,567.74,69.2,670,424,990,0.8,0.035,0.17,0.003,0.001,0.001,148,,,,
0.7,923.12,701.35,81.88,660,344,962,0.3,0.0019,0.08,0.007,0.001,0.07,176,,,,
0.7,922.83,697.54,81.88,660,330,945,0.3,0.0019,0.07,0.006,0.001,0.063,160,,,,
0.7,922.41,701.55,81.88,660,425,870,0.3,0.0019,0.06,0.007,0.001,0.074,179,,,,
0.7,918.39,698.3,81.88,660,424,815,0.3,0.0022,0.06,0.007,0.001,0.068,169,,,,
0.7,928.24,698.44,81.88,660,344,962,0.3,0.0019,0.06,0.005,0.001,0.07,175,,,,
0.7,918.25,696.22,81.88,660,334,902,0.3,0.0027,0.08,0.008,0.001,0.069,156,,,,
0.6,914.43,699.88,82.17,690,427,928,0.5,0.003,0.08,0.0089,0.001,0.068,154,,,,
0.9,922.28,702.88,79.44,660,334,902,0.3,0.003,0.08,0.0089,0.001,0.068,156,,,,
0.9,916.94,700.41,79.44,660,334,902,0.3,0.003,0.08,0.0089,0.001,0.068,161,,,,
0.8,919.5,697.71,79.38,660,336,875,0.3,0.0023,0.06,0.008,0.001,0.07,175,,,,
0.8,916.13,698.48,79.38,660,336,875,0.3,0.0029,0.06,0.007,0.001,0.064,172,,,,
0.8,920.99,701.59,79.38,660,335,855,0.3,0.0027,0.06,0.008,0.001,0.067,152,,,,
0.8,914.7,698.19,79.38,660,335,855,0.3,0.0019,0.06,0.006,0.001,0.061,176,,,,
0.65,916.33,700.45,80.71,660,339,838,0.3,0.0026,0.06,0.006,0.001,0.067,180,,,,
0.65,912.33,698.43,80.71,660,335,842,0.3,0.0021,0.07,0.007,0.001,0.064,162,,,,
0.8,913.22,700.51,79.38,660,336,810,0.3,0.0027,0.06,0.007,0.001,0.065,166,,,,
0.8,906.7,700.59,79.38,660,338,810,0.3,0.0019,0.06,0.007,0.001,0.066,155,,,,
0.8,913.16,701.17,79.38,660,337,840,0.3,0.002,0.06,0.0089,0.001,0.064,163,,,,
0.8,912.9,698.12,79.38,660,337,840,0.3,0.0018,0.07,0.008,0.001,0.064,154,,,,
0.8,907.28,701.28,79.38,660,336,810,0.5,0.0019,0.06,0.007,0.001,0.066,164,,,,
0.8,910.68,698.42,79.38,660,338,810,0.3,0.0018,0.07,0.008,0.001,0.064,154,,,,
0.7,903.94,699.35,81.88,660,424,752,0.3,0.002,0.06,0.0089,0.001,0.064,162,,,,
0.7,904.4,699.01,81.88,660,426,751,0.3,0.0019,0.06,0.007,0.001,0.066,169,,,,
0.7,901.61,695.39,81.88,660,328,854,0.3,0.0024,0.05,0.007,0.001,0.063,169,,,,
0.65,926.27,698.4,80.71,660,33,462,0.3,0.0022,0.07,0.008,0.001,0.063,167,,,,
